#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
2.3%	117000	-107942.36938553257	300.6145904161035	579
2.4%	118000	-108031.80284552206	303.061754273988	579
2.4%	119000	-107870.14922089758	295.796130538124	579
2.4%	120000	-108259.78248873632	298.12168757984887	579
2.4%	121000	-108009.1743170179	305.0453169620165	579
2.4%	122000	-107847.41717994702	296.41225903303683	579
2.5%	123000	-108153.79448709055	297.58189454230154	578
2.5%	124000	-108135.458125673	294.3607553646384	578
2.5%	125000	-108098.08010481508	302.87587922164244	578
2.5%	126000	-108016.96084984252	302.6808967952073	578
2.5%	127000	-108093.73942484311	296.1849219327834	578
2.6%	128000	-107877.4861576138	293.9508608182234	578
2.6%	129000	-108132.25834408053	300.03325440771	578
2.6%	130000	-107988.72844841727	298.38801906258135	578
2.6%	131000	-108453.72735459474	295.98327639441186	577
2.6%	132000	-108068.52365575219	295.86608677050594	577
2.7%	133000	-107741.19285078044	303.64987329127376	577
2.7%	134000	-108484.94432468852	307.51721485100387	577
2.7%	135000	-107619.348865679	298.8537312604158	577
2.7%	136000	-108189.20906568132	302.78451476420554	577
2.7%	137000	-108040.73376477929	307.5471559619621	577
2.8%	138000	-107837.65819207253	301.33729921739524	576
2.8%	139000	-108205.88245377177	299.8194661463707	576
2.8%	140000	-107992.6403722344	300.2829615283065	576
2.8%	141000	-107777.14228242473	299.5075860628319	576
2.8%	142000	-107379.80182957789	301.659789516054	576
2.9%	143000	-108214.71099929698	297.79973876396645	576
2.9%	144000	-107960.6537560618	290.3594206668722	576
2.9%	145000	-108242.60709949932	300.9291489159335	576
2.9%	146000	-108101.23018455901	300.903665333651	576
2.9%	147000	-108374.93592716311	296.98289087576086	576
3.0%	148000	-108275.43868403253	302.54825591991136	576
3.0%	149000	-108568.50764517998	298.1921891545794	575
3.0%	150000	-108351.26944043813	305.6213434500541	575
3.0%	151000	-108030.39667084534	297.1143475222955	575
3.0%	152000	-108058.99525257153	298.9765111333338	575
3.1%	153000	-108041.33698943141	300.9390404197769	575
3.1%	154000	-107713.64193070098	293.47528356987345	575
3.1%	155000	-107924.50095404801	298.5163085122311	575
3.1%	156000	-108216.87705942523	299.70893549567495	575
3.1%	157000	-108279.93107106304	297.04601595321634	574
3.2%	158000	-107754.11739090108	296.6179361384815	574
3.2%	159000	-107923.28231099714	304.4309318594325	574
3.2%	160000	-107656.12456061202	303.96990839820415	574
3.2%	161000	-108097.50637978339	300.8786162738447	574
3.2%	162000	-107591.4082152904	297.121472015423	574
3.3%	163000	-108138.69875099277	300.7364799083116	574
3.3%	164000	-107952.42080556229	306.3356858323872	574
3.3%	165000	-108100.71764545655	296.4256912788674	573
3.3%	166000	-108425.70942784706	304.69503961030546	573
3.3%	167000	-108009.69603708992	299.789183158186	573
3.4%	168000	-108123.05683447956	297.72412592182974	573
3.4%	169000	-107861.39336155145	298.3297143278134	573
3.4%	170000	-108054.68003921816	305.90737441948755	573
3.4%	171000	-108021.08645675308	297.88436685871346	573
3.4%	172000	-108299.65180769004	305.41099512258523	573
3.5%	173000	-107798.6541457614	302.46672548773336	572
3.5%	174000	-107450.21195103973	298.5250395721276	572
3.5%	175000	-107855.09878143598	305.5614849434112	572
3.5%	176000	-108066.14711524174	304.54258229673997	572
3.5%	177000	-107769.3831566521	300.99822926591787	572
3.6%	178000	-107935.33018073323	301.44051095008314	572
3.6%	179000	-107332.64805143722	291.29951361107175	572
3.6%	180000	-108096.5915163497	302.9946921723249	572
3.6%	181000	-108002.71803780342	300.21791185430067	572
3.6%	182000	-107942.945519489	291.0643217266546	571
3.7%	183000	-108092.1485254555	297.7638104089263	571
3.7%	184000	-108079.63213708927	301.45489269916584	571
3.7%	185000	-107946.8589464596	301.3219141663532	571
3.7%	186000	-107605.85659547895	301.0094785229635	571
3.7%	187000	-107393.6167084449	302.13713473771514	571
3.8%	188000	-108107.93944697687	304.94571501525877	571
3.8%	189000	-108132.72320141946	310.3140838737311	570
3.8%	190000	-107441.67794878688	297.81664079793654	570
3.8%	191000	-108141.85803779401	299.18988036690524	570
3.8%	192000	-108271.79019517405	298.80853227092337	570
3.9%	193000	-108562.44363346393	297.8871946180255	570
3.9%	194000	-108360.24150112108	311.4151694322856	570
3.9%	195000	-107803.73574218503	296.2197940488318	570
3.9%	196000	-108077.36273270217	299.5203618967223	570
3.9%	197000	-107758.89019060251	301.668659557234	570
4.0%	198000	-107679.28387623816	294.4963398919983	569
4.0%	199000	-108072.13667880464	301.21529744589634	569
4.0%	200000	-108137.8182037624	301.01531569918035	569
4.0%	201000	-108002.69627136854	303.54917388265494	569
4.0%	202000	-107818.42394017568	301.37486141837184	569
4.1%	203000	-108262.44585516932	299.16209919173247	569
4.1%	204000	-107659.37113634916	296.57076597855075	569
4.1%	205000	-107954.5514520253	298.33206932556163	569
4.1%	206000	-107657.58018719102	299.1003281879833	569
4.1%	207000	-107785.74251563149	301.86176716981396	569
4.2%	208000	-108072.26003698446	304.9855119353241	569
4.2%	209000	-107916.54615348182	299.99083625689303	569
4.2%	210000	-108201.3656565051	301.9666403877976	568
4.2%	211000	-108248.91228764364	301.72390464708417	568
4.2%	212000	-107982.48126345617	301.5530238686222	568
4.3%	213000	-108149.78928925237	300.2920318921139	568
4.3%	214000	-107943.20986367064	304.1412945246582	568
4.3%	215000	-107544.63289735769	298.89733142628944	568
4.3%	216000	-107963.20338485087	294.194703773016	568
4.3%	217000	-107336.9078808499	295.83879731049717	568
4.4%	218000	-107869.55030507385	301.09391197707754	568
4.4%	219000	-107652.1436734118	300.52819811762896	568
4.4%	220000	-107856.27584913536	300.4693600333752	568
4.4%	221000	-107171.15194489714	301.6982463346656	567
4.4%	222000	-107187.88972785347	305.4383962882518	567
4.5%	223000	-107707.374518011	309.04636006267106	567
4.5%	224000	-107619.50068057608	297.4240913373097	567
4.5%	225000	-107771.48725841776	299.0272814219144	567
4.5%	226000	-107630.66005005827	296.50350071713416	567
4.5%	227000	-108199.55295228167	304.50989675516644	567
4.6%	228000	-108023.47010337817	300.07547299386124	567
4.6%	229000	-108004.55947834905	305.29053482536756	567
4.6%	230000	-107925.53043899545	297.44669830246585	567
4.6%	231000	-108065.29824431217	308.1317850876825	567
4.6%	232000	-108345.97283109068	304.11087980852955	567
4.7%	233000	-108461.87236813596	298.38196159629524	567
4.7%	234000	-107937.51830624044	304.88097434095596	566
4.7%	235000	-107745.60139091476	306.66933452702364	566
4.7%	236000	-107828.56851152307	305.66088614074965	566
4.7%	237000	-107955.21293923468	300.1246061654516	566
4.8%	238000	-107733.01989613264	298.84482060342	566
4.8%	239000	-108276.42519581062	299.5478588143469	566
4.8%	240000	-107841.03813478677	303.2464418890466	566
4.8%	241000	-107768.96064827638	299.32884042667007	566
4.8%	242000	-107730.69093981525	305.27009270562894	566
4.9%	243000	-108114.82160340529	300.7775894543976	566
4.9%	244000	-107661.77817683271	303.78775137692594	566
4.9%	245000	-107922.34310193639	299.904067024146	566
4.9%	246000	-107956.53152976627	296.53136454114366	566
4.9%	247000	-107911.88144622953	295.78522552777855	566
5.0%	248000	-108533.56903255242	301.21122458107476	565
5.0%	249000	-108068.90435926383	298.15275997762956	565
5.0%	250000	-107723.93081791652	303.41039481470483	565
5.0%	251000	-107897.75079894369	307.4368520442286	565
5.0%	252000	-107840.86078181444	301.276580929387	565
5.1%	253000	-108058.36962742917	304.77534895861334	565
5.1%	254000	-108050.48408386228	304.79995195529574	565
5.1%	255000	-108111.73287227843	304.3194530178982	565
5.1%	256000	-108056.68441565102	300.6347020143374	565
5.1%	257000	-108347.41981296847	295.8922204480689	565
5.2%	258000	-107955.88200920401	299.78090434899474	565
5.2%	259000	-108136.39177743183	298.9280138117783	565
5.2%	260000	-108202.3184912696	302.34761191003537	565
5.2%	261000	-107872.10675275582	298.97989847470694	565
5.2%	262000	-108225.44613651093	299.4871926235322	565
5.3%	263000	-107442.16405836167	298.98680676472054	565
5.3%	264000	-107654.89090808039	308.0276295401837	565
5.3%	265000	-108046.1850078667	308.55282968746116	564
5.3%	266000	-108069.82554371376	301.0167783703738	564
5.3%	267000	-107826.4645066068	298.7757105877401	564
5.4%	268000	-107987.41854268359	292.33875571276343	564
5.4%	269000	-108310.02917598211	301.87168394163086	564
5.4%	270000	-107485.51854601363	296.04017527183237	564
5.4%	271000	-107999.13905359595	296.184387040899	564
5.4%	272000	-108553.23801204492	296.17305664921696	564
5.5%	273000	-107983.38669427461	300.34048406645906	564
5.5%	274000	-108026.58891239017	300.2323770565408	564
5.5%	275000	-107778.7622562265	301.10738061113096	564
5.5%	276000	-107642.20314346859	301.4776631154035	564
5.5%	277000	-107653.84847226739	292.6216593988835	564
5.6%	278000	-108086.33841792424	299.56158802476784	564
