#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
2.3%	117000	-107581.10131055443	301.6688165790203	657
2.4%	118000	-108172.4828522664	297.7155884032992	657
2.4%	119000	-108044.0180385611	299.89996523065884	657
2.4%	120000	-107738.61048940849	301.4494996615483	657
2.4%	121000	-108054.58302347711	303.9262741941248	657
2.4%	122000	-107935.34482406732	298.8462253953333	657
2.5%	123000	-108435.90883589326	295.38759031422444	657
2.5%	124000	-108145.60768629564	299.101509763463	657
2.5%	125000	-107932.71558025037	303.11194486509163	657
2.5%	126000	-107888.65465542767	300.25335375698256	657
2.5%	127000	-107912.38117096014	303.19578402172783	657
2.6%	128000	-107531.79099657713	303.8941183987741	657
2.6%	129000	-108101.58191835275	304.38400637224913	657
2.6%	130000	-107720.11678459006	297.4129874134458	657
2.6%	131000	-107852.48279150575	294.51024528561595	657
2.6%	132000	-108026.72142103058	308.08310047553465	656
2.7%	133000	-107442.89365493204	302.52778285378776	656
2.7%	134000	-107370.4685894216	299.06949920972403	656
2.7%	135000	-107593.39645843743	298.1909545493885	656
2.7%	136000	-107652.91817782167	300.9368761356071	656
2.7%	137000	-107410.89122509887	291.4647665604891	656
2.8%	138000	-107995.85810939595	298.0741808023573	656
2.8%	139000	-108081.59835325019	298.3745977985907	656
2.8%	140000	-107605.97185065085	305.94161815586176	656
2.8%	141000	-108033.33886802662	299.38542498214497	656
2.8%	142000	-107947.64568292326	304.72154364684064	655
2.9%	143000	-107638.9513944129	298.0693911761692	655
2.9%	144000	-107617.58825010993	299.88357900201316	655
2.9%	145000	-107662.72900923295	299.2822195706149	655
2.9%	146000	-108050.844257836	302.408597059743	655
2.9%	147000	-108002.54105314543	298.4999095464982	655
3.0%	148000	-107781.66888202261	291.7574514465903	655
3.0%	149000	-108504.79695867957	297.68441234885626	655
3.0%	150000	-108127.99361837469	305.55389573245805	654
3.0%	151000	-107757.50506129069	297.5569513646035	654
3.0%	152000	-107959.44552584039	301.96902048397396	654
3.1%	153000	-107780.29707354144	297.64622169954754	654
3.1%	154000	-107943.11925667967	298.9550521425164	654
3.1%	155000	-107349.462672516	301.3767489557312	654
3.1%	156000	-108065.10958272777	298.70045590129547	654
3.1%	157000	-107452.04929237068	299.76698596558407	654
3.2%	158000	-107368.62210866669	300.8439726846077	653
3.2%	159000	-107398.26872667065	308.1257280740706	653
3.2%	160000	-107096.75149032101	300.63877704002806	653
3.2%	161000	-107928.06189707853	307.7796921168705	653
3.2%	162000	-108104.5096121023	294.66447607297107	653
